,,,,,,,,,
,Geographic Area,Population Estimate ,,,,,,,
,,2016,2017,2018,2019,2020,2021,2022,2023(unavailable)
,.Alabama,"4,866,824","4,877,989","4,891,628","4,907,965","5,031,362","5,049,846","5,074,296","5,074,296"
,.Alaska,"742,575","740,983","736,624","733,603","732,923","734,182","733,583","733,583"
,.Arizona,"6,944,767","7,048,088","7,164,228","7,291,843","7,179,943","7,264,877","7,359,197","7,359,197"
,.Arkansas,"2,991,815","3,003,855","3,012,161","3,020,985","3,014,195","3,028,122","3,045,637","3,045,637"
,.California,"39,149,186","39,337,785","39,437,463","39,437,610","39,501,653","39,142,991","39,029,342","39,029,342"
,.Colorado,"5,543,844","5,617,421","5,697,155","5,758,486","5,784,865","5,811,297","5,839,926","5,839,926"
,.Connecticut,"3,579,830","3,575,324","3,574,561","3,566,022","3,597,362","3,623,355","3,626,205","3,626,205"
,.Delaware,"949,989","957,942","966,985","976,668","992,114","1,004,807","1,018,396","1,018,396"
,.District of Columbia,"687,576","697,079","704,147","708,253","670,868","668,791","671,803","671,803"
,.Florida,"20,627,237","20,977,089","21,254,926","21,492,056","21,589,602","21,828,069","22,244,823","22,244,823"
,.Georgia,"10,308,442","10,417,031","10,519,389","10,628,020","10,729,828","10,788,029","10,912,876","10,912,876"
,.Hawaii,"1,428,885","1,425,763","1,423,102","1,415,615","1,451,043","1,447,154","1,440,196","1,440,196"
,.Idaho,"1,684,036","1,719,745","1,752,074","1,789,060","1,849,202","1,904,314","1,939,033","1,939,033"
,.Illinois,"12,821,709","12,779,893","12,724,685","12,667,017","12,786,580","12,686,469","12,582,032","12,582,032"
,.Indiana,"6,637,898","6,662,068","6,698,481","6,731,010","6,788,799","6,813,532","6,833,037","6,833,037"
,.Iowa,"3,133,210","3,143,734","3,149,900","3,159,596","3,190,571","3,197,689","3,200,517","3,200,517"
,.Kansas,"2,912,977","2,910,892","2,912,748","2,912,635","2,937,919","2,937,922","2,937,150","2,937,150"
,.Kentucky,"4,440,306","4,455,590","4,464,273","4,472,345","4,507,445","4,506,589","4,512,310","4,512,310"
,.Louisiana,"4,681,346","4,673,673","4,664,450","4,658,285","4,651,664","4,627,098","4,590,241","4,590,241"
,.Maine,"1,332,348","1,335,743","1,340,123","1,345,770","1,363,557","1,377,238","1,385,340","1,385,340"
,.Maryland,"6,007,014","6,028,186","6,042,153","6,054,954","6,173,205","6,174,610","6,164,660","6,164,660"
,.Massachusetts,"6,827,280","6,863,560","6,885,720","6,894,883","6,995,729","6,989,690","6,981,974","6,981,974"
,.Michigan,"9,954,117","9,976,752","9,987,286","9,984,795","10,069,577","10,037,504","10,034,113","10,034,113"
,.Minnesota,"5,525,360","5,569,283","5,608,762","5,640,053","5,709,852","5,711,471","5,717,184","5,717,184"
,.Mississippi,"2,990,595","2,990,674","2,982,879","2,978,227","2,958,141","2,949,586","2,940,057","2,940,057"
,.Missouri,"6,091,384","6,111,382","6,125,986","6,140,475","6,153,998","6,169,823","6,177,957","6,177,957"
,.Montana,"1,042,137","1,053,862","1,061,818","1,070,123","1,087,075","1,106,227","1,122,867","1,122,867"
,.Nebraska,"1,906,483","1,916,998","1,925,512","1,932,571","1,962,642","1,963,554","1,967,923","1,967,923"
,.Nevada,"2,919,555","2,972,097","3,030,725","3,090,771","3,115,648","3,146,402","3,177,772","3,177,772"
,.New Hampshire,"1,343,694","1,350,395","1,355,064","1,360,783","1,378,587","1,387,505","1,395,231","1,395,231"
,.New Jersey,"8,873,584","8,888,147","8,891,730","8,891,258","9,271,689","9,267,961","9,261,699","9,261,699"
,.New Mexico,"2,092,555","2,092,844","2,093,754","2,099,634","2,118,390","2,116,677","2,113,344","2,113,344"
,.New York,"19,636,391","19,593,849","19,544,098","19,463,131","20,108,296","19,857,492","19,677,151","19,677,151"
,.North Carolina,"10,161,802","10,275,758","10,391,358","10,501,384","10,449,445","10,565,885","10,698,973","10,698,973"
,.North Dakota,"756,114","756,755","760,062","763,724","779,518","777,934","779,261","779,261"
,.Ohio,"11,640,060","11,665,706","11,680,892","11,696,507","11,797,517","11,764,342","11,756,058","11,756,058"
,.Oklahoma,"3,928,143","3,933,602","3,943,488","3,960,676","3,964,912","3,991,225","4,019,800","4,019,800"
,.Oregon,"4,093,271","4,147,294","4,183,538","4,216,116","4,244,795","4,256,301","4,240,137","4,240,137"
,.Pennsylvania,"12,788,468","12,794,679","12,809,107","12,798,883","12,994,440","13,012,059","12,972,008","12,972,008"
,.Rhode Island,"1,057,816","1,056,554","1,059,338","1,058,158","1,096,345","1,096,985","1,093,734","1,093,734"
,.South Carolina,"4,963,031","5,027,102","5,091,702","5,157,702","5,131,848","5,193,266","5,282,634","5,282,634"
,.South Dakota,"863,693","873,732","879,386","887,127","887,799","896,164","909,824","909,824"
,.Tennessee,"6,651,277","6,714,748","6,778,180","6,830,325","6,925,619","6,968,351","7,051,339","7,051,339"
,.Texas,"27,914,064","28,291,024","28,624,564","28,986,794","29,232,474","29,558,864","30,029,572","30,029,572"
,.Utah,"3,044,241","3,103,540","3,155,153","3,203,383","3,283,785","3,339,113","3,380,800","3,380,800"
,.Vermont,"624,366","625,132","624,802","624,046","642,893","646,972","647,064","647,064"
,.Virginia,"8,417,651","8,471,011","8,510,920","8,556,642","8,636,471","8,657,365","8,683,619","8,683,619"
,.Washington,"7,299,961","7,427,951","7,526,793","7,614,024","7,724,031","7,740,745","7,785,786","7,785,786"
,.West Virginia,"1,832,435","1,818,683","1,805,953","1,795,263","1,791,420","1,785,526","1,775,156","1,775,156"
,.Wisconsin,"5,775,170","5,793,147","5,809,319","5,824,581","5,896,271","5,880,101","5,892,539","5,892,539"
,.Wyoming,"585,243","579,994","579,054","580,116","577,605","579,483","581,381","581,381"
